PX_OPEN1,PX_HIGH1,PX_LOW1,PX_LAST1,PX_VOLUME1,OPEN_INT1,PX_OPEN2,PX_HIGH2,PX_LOW2,PX_LAST2,PX_VOLUME2,OPEN_INT2,Dates,VOL Change1,Vol Change %1,OI Change1,OI Change %1,CALENDAR,Vol Ratio,Vol Ratio Change,OI Ratio,OI Ratio Change,VOL Change2,Vol Change %2,OI Change2,OI Change %2
110.26,113.91,107.13,112.67,287385,258950,106.35,109.93,103.03,109.1,236813,393683,11/03/2022,-64953.00,-0.18,-32118.00,-0.11,3.57,1.21,0.17,0.66,-0.15,-104131.00,-0.31,19619.00,0.05
113.15,113.15,103.49,106.9,265914,248236,109.36,109.38,100.66,103.4,255381,390086,14/03/2022,-21471.00,-0.07,-10714.00,-0.04,3.50,1.04,-0.14,0.64,-0.03,18568.00,0.08,-3597.00,-0.01
105.34,105.71,97.44,99.91,318121,236360,102.07,102.44,94.75,97.58,311212,387682,15/03/2022,52207.00,0.20,-11876.00,-0.05,2.33,1.02,-0.02,0.61,-0.04,55831.00,0.22,-2404.00,-0.01
99.14,103.7,96.93,98.02,246821,222194,96.91,101.18,94.61,95.64,219970,391788,16/03/2022,-71300.00,-0.22,-14166.00,-0.06,2.38,1.12,0.10,0.57,-0.07,-91242.00,-0.29,4106.00,0.01
98.61,107.5,97.75,106.64,200947,216650,96.17,104.41,95.39,103.56,211432,399745,17/03/2022,-45874.00,-0.19,-5544.00,-0.02,3.08,0.95,-0.15,0.54,-0.04,-8538.00,-0.04,7957.00,0.02
106.8,109.59,105.78,107.93,168906,208594,103.76,106.46,102.94,105.07,181431,411906,18/03/2022,-32041.00,-0.16,-8056.00,-0.04,2.86,0.93,-0.02,0.51,-0.07,-30001.00,-0.14,12161.00,0.03
107.5,116.8,107.06,115.62,196494,197616,105,113.05,104.29,111.92,231226,425925,21/03/2022,27588.00,0.16,-10978.00,-0.05,3.70,0.85,-0.09,0.46,-0.08,49795.00,0.27,14019.00,0.03
117.04,119.48,112.64,115.48,204659,187166,113.89,115.5,109.31,111.83,260720,418789,22/03/2022,8165.00,0.04,-10450.00,-0.05,3.65,0.78,-0.08,0.45,-0.04,29494.00,0.13,-7136.00,-0.02
114.7,122.34,114.45,121.6,224526,174767,110.93,118.2,110.78,117.75,288411,415374,23/03/2022,19867.00,0.10,-12399.00,-0.07,3.85,0.78,-0.01,0.42,-0.06,27691.00,0.11,-3415.00,-0.01
121.56,123.74,116.93,119.03,177664,162668,117.7,119.74,113.41,115.3,286552,414947,24/03/2022,-46862.00,-0.21,-12099.00,-0.07,3.73,0.62,-0.20,0.39,-0.07,-1859.00,-0.01,-427.00,0.00
118.88,120.92,115.16,120.65,133459,150041,115.22,117.62,111.88,117.37,278289,417022,25/03/2022,-44205.00,-0.25,-12627.00,-0.08,3.28,0.48,-0.23,0.36,-0.08,-8263.00,-0.03,2075.00,0.01
119.9,119.9,109.06,112.48,150818,118000,115.79,116.03,106.06,109.49,304613,414715,28/03/2022,17359.00,0.13,-32041.00,-0.21,2.99,0.50,0.03,0.28,-0.21,26324.00,0.09,-2307.00,-0.01
110.1,114.83,104.84,110.23,93679,93596,107.21,111.8,102.19,107.71,354621,413100,29/03/2022,-57139.00,-0.38,-24404.00,-0.21,2.52,0.26,-0.47,0.23,-0.20,50008.00,0.16,-1615.00,0.00
112,114.8,110.74,113.45,72332,57746,109.6,112.28,107.93,111.44,269455,433849,30/03/2022,-21347.00,-0.23,-35850.00,-0.38,2.01,0.27,0.02,0.13,-0.41,-85166.00,-0.24,20749.00,0.05
112.81,112.94,106.5,107.91,8678,53949,110.99,111.16,104.06,104.71,348686,426512,31/03/2022,-63654.00,-0.88,-3797.00,-0.07,3.20,0.02,-0.91,0.13,-0.05,79231.00,0.29,-7337.00,-0.02
105.25,106.24,102.35,104.39,238624,409905,103.31,104.11,100.54,102.82,151045,270024,01/04/2022,229946.00,26.50,355956.00,6.60,1.57,1.58,62.48,1.52,11.00,-197641.00,-0.57,-156488.00,-0.37
104.08,108.68,102.89,107.53,218681,403018,102.43,107,101.4,106,148712,273962,04/04/2022,-19943.00,-0.08,-6887.00,-0.02,1.53,1.47,-0.07,1.47,-0.03,-2333.00,-0.02,3938.00,0.01
108.51,109.9,104.53,106.64,203055,392446,106.97,108.18,103.16,105.2,131590,283315,05/04/2022,-15626.00,-0.07,-10572.00,-0.03,1.44,1.54,0.05,1.39,-0.06,-17122.00,-0.12,9353.00,0.03
105.7,108.67,100.54,101.07,286516,379570,104.28,107.09,99.77,100.25,201367,288208,06/04/2022,83461.00,0.41,-12876.00,-0.03,0.82,1.42,-0.08,1.32,-0.05,69777.00,0.53,4893.00,0.02
101.78,103.59,98.41,100.58,296034,357599,100.91,102.66,97.91,100.05,196600,310185,07/04/2022,9518.00,0.03,-21971.00,-0.06,0.53,1.51,0.06,1.15,-0.12,-4767.00,-0.02,21977.00,0.08
101.42,103.3,99.65,102.78,217643,329147,100.81,102.64,98.99,102.17,140583,330221,08/04/2022,-78391.00,-0.26,-28452.00,-0.08,0.61,1.55,0.03,1.00,-0.14,-56017.00,-0.28,20036.00,0.06
103.21,103.3,97.57,98.48,238692,301860,102.23,102.67,97.18,98.27,171825,349545,11/04/2022,21049.00,0.10,-27287.00,-0.08,0.21,1.39,-0.10,0.86,-0.13,31242.00,0.22,19324.00,0.06
99.35,105.6,98.9,104.64,273948,279813,99.17,104.95,98.76,104.22,210017,372394,12/04/2022,35256.00,0.15,-22047.00,-0.07,0.42,1.30,-0.06,0.75,-0.13,38192.00,0.22,22849.00,0.07
